Asset,Time,WaveCal,Wave_E,Wave_N,Surge,Sway,Heave,Roll,Pitch,Yaw,Tendon Tension
Tendon 2,6.198,-1.6792,0.6151,-1.9819,15.1029,15.1646,-0.4744,-0.0412,0.0305,0.2207,548.529
Tendon 2,6.261,-1.6877,0.6581,-1.9446,15.1066,15.1655,-0.4756,-0.0416,0.0321,0.2204,551.935
Tendon 2,6.325,-1.6962,0.7845,-1.9196,15.1075,15.1673,-0.4764,-0.0422,0.0335,0.22,556.571
Tendon 2,6.388,-1.6968,0.8595,-1.8877,15.1094,15.1682,-0.4769,-0.0429,0.0348,0.2196,562.531
Tendon 2,6.451,-1.6973,0.9772,-1.8419,15.1103,15.1682,-0.4772,-0.0437,0.0357,0.2191,569.722
Tendon 2,6.514,-1.6929,1.1756,-1.7992,15.1094,15.1682,-0.4772,-0.0445,0.0363,0.2185,578.142
Tendon 2,6.578,-1.6834,1.2317,-1.7556,15.1084,15.1673,-0.4769,-0.0453,0.0366,0.2178,587.887
Tendon 2,6.641,-1.6738,1.3896,-1.6536,15.1066,15.1664,-0.4764,-0.0459,0.0363,0.217,598.483
Tendon 2,6.704,-1.6524,1.4966,-1.596,15.1047,15.1655,-0.4756,-0.0464,0.0354,0.2161,609.836
Tendon 2,6.767,-1.631,1.5917,-1.5328,15.1019,15.1636,-0.4748,-0.0466,0.034,0.215,621.757
Tendon 2,6.831,-1.6029,1.8167,-1.4434,15.0992,15.1618,-0.4739,-0.0465,0.032,0.2139,634.814
Tendon 2,6.894,-1.5681,1.8619,-1.3663,15.0954,15.16,-0.4727,-0.046,0.0294,0.2127,647.964
Tendon 2,6.957,-1.5336,2.0288,-1.2791,15.0917,15.1572,-0.4715,-0.0451,0.0262,0.2114,661.021
Tendon 2,7.02,-1.4848,2.0712,-1.1793,15.088,15.1536,-0.4698,-0.0436,0.0226,0.21,674.645
Tendon 2,7.084,-1.4361,2.0602,-1.1116,15.0834,15.1499,-0.4682,-0.0418,0.0186,0.2086,687.701
Tendon 2,7.147,-1.3804,2.1694,-0.9802,15.0778,15.1453,-0.4661,-0.0395,0.0143,0.2072,700.379
Tendon 2,7.21,-1.318,2.0881,-0.8898,15.0732,15.1407,-0.464,-0.0369,0.01,0.2057,712.678
Tendon 2,7.273,-1.2554,2.1562,-0.7659,15.0685,15.1362,-0.4615,-0.0339,0.0056,0.2043,724.126
Tendon 2,7.336,-1.1801,2.1889,-0.6569,15.062,15.1307,-0.4591,-0.0307,0.0014,0.2028,734.722
Tendon 2,7.4,-1.1048,2.1475,-0.5552,15.0574,15.1252,-0.4562,-0.0274,-0.0025,0.2014,743.994
Tendon 2,7.463,-1.0243,2.2319,-0.4579,15.0509,15.1188,-0.4532,-0.0239,-0.0059,0.2001,752.036
Tendon 2,7.526,-0.9388,2.2272,-0.3059,15.0453,15.1123,-0.4499,-0.0205,-0.0089,0.1988,758.753
Tendon 2,7.589,-0.8529,2.2786,-0.2266,15.0388,15.1059,-0.4466,-0.0172,-0.0113,0.1974,764.24
Tendon 2,7.653,-0.7598,2.2607,-0.0951,15.0323,15.0995,-0.4433,-0.0141,-0.0131,0.1962,768.498
Tendon 2,7.716,-0.6667,2.2507,0.0016,15.0258,15.0913,-0.44,-0.0112,-0.0142,0.195,771.052
Tendon 2,7.779,-0.5719,2.2818,0.0825,15.0193,15.0849,-0.4367,-0.0085,-0.0148,0.1938,771.904
Tendon 2,7.842,-0.4752,2.225,0.2,15.0119,15.0784,-0.4338,-0.0063,-0.0149,0.1927,771.904
Tendon 2,7.906,-0.3785,2.2912,0.285,15.0054,15.0711,-0.4309,-0.0042,-0.0145,0.1915,770.201
Tendon 2,7.969,-0.2818,2.2093,0.3697,14.997,15.0638,-0.4284,-0.0025,-0.0137,0.1903,767.646
Tendon 2,8.032,-0.1851,2.2187,0.492,14.9896,15.0574,-0.4263,-0.0011,-0.0126,0.1891,763.862
Tendon 2,8.095,-0.0902,2.1826,0.5309,14.9822,15.05,-0.4251,1.00E-04,-0.0114,0.1879,759.226
Tendon 2,8.159,0.0026,2.1468,0.6554,14.9738,15.0427,-0.4239,0.001,-0.01,0.1868,754.117
Tendon 2,8.222,0.0957,2.2366,0.7154,14.9654,15.0363,-0.423,0.0018,-0.0085,0.1856,747.778
Tendon 2,8.285,0.1818,2.1374,0.7941,14.958,15.0308,-0.423,0.0024,-0.0071,0.1843,741.439
Tendon 2,8.348,0.2676,2.1685,0.8446,14.9497,15.0244,-0.423,0.003,-0.0057,0.1831,735.1
Tendon 2,8.412,0.3491,2.1296,0.9312,14.9413,15.0171,-0.4239,0.0035,-0.0045,0.1819,728.289
Tendon 2,8.475,0.4254,1.9899,0.9451,14.9329,15.0116,-0.4247,0.0039,-0.0033,0.1806,721.571
Tendon 2,8.538,0.502,2.0178,1.0494,14.9246,15.0051,-0.4259,0.0044,-0.0024,0.1794,715.232
Tendon 2,8.601,0.5672,1.812,1.0807,14.9162,14.9997,-0.4272,0.0049,-0.0016,0.1781,709.272
Tendon 2,8.665,0.6325,1.7392,1.1211,14.9088,14.9923,-0.4289,0.0055,-9.00E-04,0.177,703.785
Tendon 2,8.728,0.6915,1.598,1.1691,14.8995,14.9868,-0.4305,0.0061,-5.00E-04,0.1758,699.149
Tendon 2,8.791,0.7441,1.4128,1.1887,14.8912,14.9804,-0.4317,0.0067,-3.00E-04,0.1746,694.891
Tendon 2,8.854,0.7967,1.345,1.1935,14.8828,14.974,-0.4334,0.0075,-3.00E-04,0.1734,691.485
Tendon 2,8.918,0.8367,1.2132,1.2541,14.8754,14.9685,-0.4346,0.0083,-6.00E-04,0.1723,689.025
Tendon 2,8.981,0.8764,1.121,1.2292,14.8661,14.9612,-0.4359,0.0091,-0.0012,0.1712,687.701
Tendon 2,9.044,0.9096,1.0023,1.2722,14.8577,14.9548,-0.4367,0.01,-0.0021,0.17,687.322
Tendon 2,9.107,0.9367,0.8643,1.2504,14.8494,14.9483,-0.4375,0.011,-0.0034,0.169,687.322
Tendon 2,9.171,0.9635,0.8049,1.2308,14.8419,14.9429,-0.4379,0.0121,-0.005,0.1679,689.025
Tendon 2,9.234,0.9779,0.6283,1.226,14.8327,14.9355,-0.4384,0.0133,-0.007,0.1668,691.107
Tendon 2,9.297,0.9924,0.6207,1.1925,14.8243,14.9291,-0.4384,0.0146,-0.0094,0.1657,694.04
Tendon 2,9.36,1.0009,0.4591,1.1388,14.816,14.9227,-0.4384,0.0161,-0.0122,0.1646,697.919
Tendon 2,9.424,1.004,0.3935,1.1483,14.8085,14.9154,-0.4379,0.0176,-0.0153,0.1636,702.081
Tendon 2,9.487,1.0068,0.3022,1.075,14.7992,14.9099,-0.4375,0.0193,-0.0187,0.1625,707.19
Tendon 2,9.55,0.9988,0.1867,1.0658,14.7909,14.9035,-0.4367,0.0212,-0.0222,0.1615,712.678
Tendon 2,9.613,0.9906,0.1795,1.0089,14.7825,14.898,-0.4359,0.0231,-0.0259,0.1605,718.638
Tendon 2,9.677,0.9774,0.0342,0.9638,14.7751,14.8915,-0.435,0.0252,-0.0296,0.1595,724.126
Tendon 2,9.74,0.9596,-0.0267,0.9483,14.7667,14.8851,-0.4338,0.0273,-0.0332,0.1586,729.992
Tendon 2,9.803,0.9416,-0.0477,0.8952,14.7584,14.8796,-0.4326,0.0295,-0.0366,0.1577,735.952
Tendon 2,9.866,0.9145,-0.1858,0.8424,14.751,14.8741,-0.4309,0.0317,-0.0396,0.1569,741.439
Tendon 2,9.93,0.8874,-0.15,0.8329,14.7435,14.8686,-0.4292,0.0339,-0.0424,0.1561,746.075
Tendon 2,9.993,0.8565,-0.2614,0.7754,14.7361,14.8622,-0.4276,0.0359,-0.0446,0.1553,750.711
Tendon 2,10.056,0.8214,-0.338,0.7249,14.7287,14.8567,-0.4255,0.0378,-0.0464,0.1547,754.117
Tendon 2,10.119,0.7864,-0.2934,0.7015,14.7222,14.8521,-0.4239,0.0395,-0.0477,0.1541,757.05
Tendon 2,10.183,0.7449,-0.3967,0.6585,14.7157,14.8476,-0.4218,0.0409,-0.0485,0.1534,758.753
Tendon 2,10.246,0.7034,-0.3747,0.5814,14.7101,14.843,-0.4202,0.042,-0.0488,0.1528,759.605
Tendon 2,10.309,0.659,-0.3942,0.5681,14.7045,14.8375,-0.4185,0.0427,-0.0487,0.1523,759.605
Tendon 2,10.372,0.6121,-0.487,0.4702,14.6999,14.8338,-0.4168,0.0431,-0.0482,0.1517,758.375
Tendon 2,10.436,0.5652,-0.4098,0.4304,14.6952,14.8302,-0.416,0.0431,-0.0475,0.1512,755.82
Tendon 2,10.499,0.5141,-0.4503,0.376,14.6906,14.8265,-0.4148,0.0428,-0.0465,0.1507,752.887
Tendon 2,10.562,0.4631,-0.3527,0.327,14.6878,14.8237,-0.4143,0.042,-0.0453,0.1501,748.251
Tendon 2,10.625,0.4107,-0.3411,0.2819,14.685,14.8219,-0.4143,0.041,-0.0441,0.1495,743.142
Tendon 2,10.688,0.3571,-0.3264,0.2297,14.6822,14.8201,-0.4143,0.0397,-0.0428,0.1488,737.182
Tendon 2,10.752,0.3035,-0.2341,0.14,14.6804,14.8182,-0.4152,0.0382,-0.0415,0.1482,730.464
Tendon 2,10.815,0.2488,-0.2109,0.1191,14.6785,14.8182,-0.416,0.0365,-0.0403,0.1474,722.801
Tendon 2,10.878,0.1941,-0.0923,0.0171,14.6785,14.8173,-0.4172,0.0346,-0.0391,0.1467,714.759
Tendon 2,10.941,0.1397,-0.0646,0.0016,14.6785,14.8173,-0.4189,0.0327,-0.0379,0.146,706.339
Tendon 2,11.005,0.0853,-0.0094,-0.0553,14.6785,14.8182,-0.4206,0.0308,-0.0367,0.1452,697.919
Tendon 2,11.068,0.0309,0.128,-0.1346,14.6785,14.8192,-0.4222,0.0289,-0.0355,0.1443,689.025
Tendon 2,11.131,-0.0219,0.1654,-0.1627,14.6795,14.821,-0.4243,0.0271,-0.0343,0.1434,680.132
Tendon 2,11.194,-0.0745,0.3207,-0.2243,14.6804,14.8228,-0.4259,0.0253,-0.033,0.1426,671.239
Tendon 2,11.258,-0.1258,0.327,-0.2888,14.6822,14.8247,-0.428,0.0237,-0.0317,0.1417,662.345
Tendon 2,11.321,-0.1758,0.4528,-0.3068,14.685,14.8274,-0.4297,0.0222,-0.0304,0.1409,653.83
Tendon 2,11.384,-0.2261,0.5737,-0.394,14.6869,14.8302,-0.4313,0.0209,-0.029,0.1399,645.41
Tendon 2,11.447,-0.2728,0.6254,-0.4064,14.6906,14.8329,-0.4326,0.0197,-0.0276,0.1391,637.841
Tendon 2,11.511,-0.3192,0.7977,-0.4607,14.6943,14.8366,-0.4338,0.0186,-0.0262,0.1382,630.178
Tendon 2,11.574,-0.3641,0.8439,-0.4983,14.698,14.8412,-0.435,0.0177,-0.025,0.1375,623.46
Tendon 2,11.637,-0.4069,0.9173,-0.5479,14.7036,14.8448,-0.4363,0.0169,-0.0239,0.1366,617.027
Tendon 2,11.7,-0.4497,1.0795,-0.5558,14.7082,14.8494,-0.4371,0.0162,-0.023,0.1359,611.54
Tendon 2,11.764,-0.4883,1.082,-0.6064,14.7147,14.8531,-0.4379,0.0156,-0.0223,0.135,606.525
Tendon 2,11.827,-0.5265,1.2678,-0.6159,14.7203,14.8586,-0.4388,0.0152,-0.022,0.1342,602.268
Tendon 2,11.89,-0.5626,1.2841,-0.667,14.7268,14.8641,-0.4396,0.015,-0.022,0.1335,598.483
Tendon 2,11.953,-0.5966,1.3739,-0.6857,14.7342,14.8705,-0.4409,0.0148,-0.0223,0.1328,595.456
Tendon 2,12.017,-0.6304,1.4646,-0.7208,14.7426,14.8769,-0.4421,0.0148,-0.023,0.132,593.374
Tendon 2,12.08,-0.6593,1.4646,-0.7356,14.751,14.8833,-0.4433,0.015,-0.024,0.1311,592.144
Tendon 2,12.143,-0.6879,1.5838,-0.7786,14.7593,14.8915,-0.445,0.0153,-0.0252,0.1304,591.293
Tendon 2,12.206,-0.7142,1.5832,-0.752,14.7677,14.8989,-0.4466,0.0157,-0.0265,0.1295,590.82
Tendon 2,12.27,-0.7376,1.6174,-0.7893,14.7779,14.9071,-0.4483,0.0162,-0.028,0.1286,591.293
Tendon 2,12.333,-0.7611,1.6158,-0.7988,14.7872,14.9172,-0.4504,0.0168,-0.0294,0.1278,592.144
Tendon 2,12.396,-0.7789,1.5628,-0.802,14.7974,14.9264,-0.4524,0.0174,-0.0306,0.1269,593.374
Tendon 2,12.459,-0.7967,1.5744,-0.8399,14.8076,14.9364,-0.4545,0.018,-0.0317,0.1259,594.699
Tendon 2,12.523,-0.8111,1.4574,-0.8298,14.8178,14.9474,-0.4566,0.0184,-0.0324,0.125,596.307
Tendon 2,12.586,-0.8225,1.4426,-0.8096,14.828,14.9584,-0.4582,0.0187,-0.0326,0.1241,598.483
Tendon 2,12.649,-0.8336,1.3287,-0.8244,14.8382,14.9694,-0.4599,0.0187,-0.0324,0.1232,600.186
Tendon 2,12.712,-0.8377,1.2575,-0.7909,14.8494,14.9813,-0.4615,0.0184,-0.0317,0.1223,601.889
Tendon 2,12.776,-0.8415,1.2217,-0.808,14.8614,14.9923,-0.4628,0.0177,-0.0304,0.1214,603.498
Tendon 2,12.839,-0.8418,1.11,-0.7713,14.8726,15.0042,-0.464,0.0165,-0.0286,0.1206,604.822
Tendon 2,12.902,-0.8379,1.0999,-0.7669,14.8847,15.0152,-0.4649,0.0149,-0.0263,0.1197,605.674
