DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
7/1/2013,24,245.367134,100.7706392,212.6181931,21.72179708,100.000,32.74894083,88.74752896,3.354657708,842.56,135091.92,3541.49
7/2/2013,24,244.6716067,100.7722171,212.2404925,21.60919,100.000,32.43111417,88.03461854,3.364856458,863.9,135140.55,3556.35
7/3/2013,24,244.9622377,100.7747379,212.4192313,21.56656938,100.000,32.54300646,87.85408104,3.402880208,865.77,140501.81,3619.11
7/4/2013,24,245.0251967,100.7723419,212.5388833,21.65291167,100.000,32.48631333,88.0799825,3.480747708,875.54,140279.37,3775.85
7/5/2013,24,244.3315656,100.7432271,211.860976,21.53614583,100.000,32.47058958,88.33458375,3.403811875,891.6,137045.77,3941.12
7/6/2013,17.16667,250.1025816,100.6531966,214.0634826,20.25809749,55.100,36.03909893,85.02098159,7.333506674,583.75,99453.13,2964.15
7/7/2013,24,244.4625525,100.7308279,211.9783085,21.55073563,99.995,32.48424396,89.12992792,3.798092917,948.8,154693.66,4858.07
7/8/2013,24,211.4855925,87.02505583,178.9450956,21.718675,100.000,32.54049688,89.26814646,3.785294375,852.38,132899.95,3609.61
7/9/2013,24,245.3807454,100.7093942,212.6993623,21.64650375,100.000,32.68138313,89.12109042,3.716002708,857.61,135787.02,3659.24
7/10/2013,24,245.3292325,100.7251858,212.8280469,21.65069958,100.000,32.50118563,89.19858938,3.759674792,867.73,137900.07,3709.38
7/11/2013,24,245.7106121,100.729985,213.0593948,21.71148688,100.000,32.65121729,89.26409083,3.71709625,850.37,140230.43,3714.36
7/12/2013,24,245.4446838,100.7072348,212.9574713,21.78760083,100.000,32.4872125,89.43452958,3.71394375,872.74,137325.76,3501.91
7/13/2013,24,245.6618623,100.7166592,213.1416656,21.71852708,100.000,32.52019667,89.35799438,3.640911875,860.38,137651.96,3442.97
7/14/2013,24,245.6675279,100.7155967,213.171551,21.673635,100.000,32.49597688,89.11622188,3.618804583,863.13,137505.93,3372.91
7/15/2013,24,245.6470173,100.7143304,213.2629269,21.64367313,100.000,32.38409042,89.04191896,3.619155625,837.4,129858.55,2999.08
7/16/2013,24,245.7211765,100.7101625,213.330944,21.70945771,100.000,32.3902325,89.33906438,3.61210875,827.69,130458.83,2932.17
7/17/2013,24,245.7300306,100.7058929,213.3654248,21.69498063,100.000,32.36460583,89.22710979,3.589831875,824.01,129581.05,2866.97
7/18/2013,24,245.8088129,100.6979798,213.443795,21.706635,100.000,32.36501792,89.49587771,3.59587625,822.86,129191.61,2946.25
7/19/2013,24,245.9016381,100.6903606,213.551961,21.64246667,100.000,32.34967708,89.41062875,3.589875625,818.02,128257.76,3019.33
7/20/2013,24,245.8681375,100.683114,213.5259006,21.64826208,100.000,32.34223688,89.47673792,3.583033958,818.74,128639.51,3140.9
7/21/2013,24,245.819041,100.6742715,213.5126963,21.58243542,100.000,32.30634479,89.36751167,3.557397708,816.6,127690.75,3175.16
7/22/2013,4.5,262.9848394,100.4544043,220.8062146,16.93185889,13.484,42.17862483,74.3897645,15.54782867,105.65,20320.59,566.09
7/23/2013,24,248.2522317,100.6557998,215.1346313,20.89757167,88.855,33.11760042,87.16714271,4.443315208,745.71,128866.47,3304.09
7/24/2013,24,246.4180456,100.2174156,213.8587027,21.717035,100.000,32.55934292,87.56227542,3.393475,770.67,115815.48,3589
7/25/2013,24,246.8384379,100.5631969,214.458885,21.75923542,100.000,32.37955292,88.41752896,3.483409375,695.39,101120.5,3691.7
7/26/2013,24,246.4463446,100.6529492,214.251155,21.74318229,100.000,32.19518958,87.95483479,3.455459375,776.09,110690.58,3263.55
7/27/2013,24,245.9978094,100.6703248,213.7257775,21.90970958,100.000,32.27203188,89.13168083,3.486393125,779.72,114593.17,3292.87
7/28/2013,0.84167,260.6217695,100.6530703,229.5473349,21.78313609,3.154,31.07443455,87.59428388,5.058784164,7.18,1118.54,43.54
7/29/2013,5.99166,268.5543591,100.3886069,223.7939905,14.313568,9.001,44.7603686,71.47752705,18.10824823,65.68,9664.82,329.19
7/30/2013,24,246.9515533,100.6783492,213.2926315,20.87445271,82.649,33.65892188,87.65231188,4.614137083,670.4,97949.85,2818.95
7/31/2013,8.34167,248.4803034,100.6584946,216.2583071,21.74137373,38.997,32.22199623,88.56399952,3.045506344,324.71,48071.16,1344.09
8/3/2013,15.825,255.7524043,100.5659307,216.9480055,17.3292584,35.177,38.80439886,80.77487134,9.883211896,318.64,46367.82,1400.63
8/4/2013,24,245.3136304,100.6864353,212.5888594,21.06565085,95.744,32.72477106,87.66095298,3.337950851,736.95,107818.45,3138.05
8/5/2013,24,244.9287223,100.6973177,212.5953302,21.54423745,97.917,32.33339213,87.50957915,3.307333617,769.73,112669.2,3222.37
8/6/2013,24,244.8300948,100.698731,212.3575067,21.78806667,100.000,32.47258813,88.77333854,3.417656042,777.23,113092.01,3224.77
8/7/2013,24,244.7227531,100.7264294,212.1844833,22.11738083,100.000,32.53826979,89.14848854,3.473619583,788.24,114235.75,3232.51
8/8/2013,24,245.2103221,100.6957867,212.7332504,22.10230208,100.000,32.47707167,89.18320521,3.414337708,783.12,113784.88,3255.62
8/9/2013,24,245.3397727,100.6839058,212.9483567,21.98351792,100.000,32.39141604,88.11522771,3.352530208,775.86,113390.93,3247.76
8/10/2013,24,245.2684533,100.6844806,212.7946556,22.02243438,100.000,32.47379771,89.06893667,3.416789792,777.26,113851.24,3250.6
8/11/2013,24,245.590509,100.6776929,212.8126392,22.04751792,99.908,32.77786979,88.91890375,3.302900625,764.87,112420.02,3219.76
8/12/2013,24,245.7648931,100.6586756,212.825046,22.03066729,100.000,32.93984708,89.08450854,3.279971875,758.25,112361.19,3229.29
8/13/2013,24,245.1892098,100.6561252,212.7369821,21.88382208,100.000,32.45222771,88.94789354,3.272237083,765.06,112807.39,3215.25
8/14/2013,24,245.2583921,100.6435525,212.9496198,21.98028354,100.000,32.30877229,89.06233,3.280679792,768.65,112878.79,3197.42
