age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,subscription
43,admin.,married,university.degree,unknown,no,no,cellular,aug,fri,170,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228,no
44,blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,140,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,admin.,married,university.degree,no,yes,yes,cellular,jul,mon,230,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228,no
50,management,married,university.degree,unknown,no,no,telephone,jun,wed,242,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228,no
30,services,single,unknown,no,no,yes,telephone,may,fri,154,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
53,self-employed,single,university.degree,no,no,yes,cellular,nov,thu,61,2,999,1,failure,-0.1,93.2,-42.0,4.076,5196,no
41,unemployed,married,basic.9y,no,yes,no,cellular,apr,mon,263,1,999,0,nonexistent,-1.8,93.075,-47.1,1.466,5099,no
26,admin.,single,high.school,no,no,yes,telephone,jun,mon,445,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228,no
23,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,52,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099,no
36,admin.,single,university.degree,no,yes,no,cellular,aug,tue,74,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228,no
29,management,married,university.degree,no,no,no,telephone,may,tue,134,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
42,blue-collar,divorced,basic.9y,no,yes,yes,cellular,nov,mon,151,3,999,1,failure,-0.1,93.2,-42.0,4.191,5196,no
23,admin.,single,high.school,no,yes,no,cellular,jul,tue,141,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228,no
41,management,married,university.degree,no,yes,no,telephone,may,tue,182,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
23,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,413,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099,no
28,technician,single,professional.course,no,yes,no,cellular,jul,tue,185,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228,no
29,admin.,married,university.degree,no,no,no,cellular,aug,thu,108,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228,no
37,blue-collar,married,high.school,unknown,no,no,cellular,may,fri,323,2,999,1,failure,-1.8,92.893,-46.2,1.313,5099,no
37,admin.,single,university.degree,no,yes,no,telephone,may,fri,355,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
31,technician,single,university.degree,no,no,no,cellular,aug,wed,559,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228,no
59,retired,married,basic.6y,no,yes,no,cellular,jul,tue,196,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228,no
36,technician,married,basic.9y,no,yes,yes,cellular,may,tue,67,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099,no
53,management,married,university.degree,no,yes,no,cellular,jul,fri,136,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228,no
40,blue-collar,married,basic.4y,no,no,no,cellular,nov,tue,103,6,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5196,no
29,services,single,high.school,no,yes,no,cellular,nov,fri,171,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5196,no
49,admin.,single,high.school,no,no,no,telephone,jul,thu,6,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228,no
39,blue-collar,single,basic.9y,no,yes,no,cellular,may,mon,85,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099,no
45,entrepreneur,married,university.degree,no,no,no,telephone,may,thu,71,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
30,blue-collar,single,basic.9y,no,no,no,cellular,may,mon,74,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099,no
38,admin.,married,university.degree,no,no,yes,telephone,nov,mon,337,3,999,0,nonexistent,-3.4,92.649,-30.1,0.719,5018,no
50,management,married,basic.6y,no,no,no,cellular,apr,fri,324,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099,no
30,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,544,3,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099,no
25,self-employed,single,university.degree,no,no,no,telephone,may,tue,247,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
50,blue-collar,married,professional.course,no,yes,yes,cellular,aug,tue,14,8,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228,no
37,blue-collar,married,basic.4y,no,yes,no,cellular,may,fri,178,2,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099,no
29,services,divorced,high.school,no,no,no,telephone,may,wed,869,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
57,housemaid,married,university.degree,no,yes,no,cellular,jul,wed,113,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228,no
28,blue-collar,single,basic.9y,no,no,no,cellular,jul,fri,803,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228,no
30,admin.,single,high.school,no,yes,no,telephone,jun,tue,229,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228,no
55,unemployed,married,basic.9y,no,yes,no,cellular,oct,tue,156,1,999,0,nonexistent,-3.4,92.431,-26.9,0.728,5018,no
57,admin.,married,unknown,no,yes,no,cellular,aug,mon,101,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228,no
30,admin.,divorced,high.school,no,yes,no,telephone,may,wed,62,4,999,1,failure,-1.8,92.893,-46.2,1.334,5099,no
54,retired,married,basic.4y,no,yes,no,cellular,apr,fri,420,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099,no
40,services,married,high.school,no,yes,yes,telephone,jun,thu,40,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228,no
28,admin.,single,university.degree,no,yes,no,telephone,jul,thu,310,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228,no
46,housemaid,married,basic.4y,no,no,no,telephone,may,wed,336,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
31,admin.,single,university.degree,no,yes,no,cellular,may,fri,33,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099,no
45,blue-collar,divorced,basic.9y,no,yes,no,telephone,jun,thu,542,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228,no
44,admin.,married,university.degree,unknown,no,no,telephone,may,wed,202,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
38,self-employed,single,unknown,no,no,no,cellular,jul,tue,843,8,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228,no
27,admin.,married,high.school,no,no,no,cellular,may,thu,244,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099,no
50,services,married,basic.6y,no,yes,no,cellular,aug,thu,181,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228,no
