Program,Year,Period,Week Ending,Geo Level,State,State ANSI,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Price
SURVEY,1977,YEAR,,STATE,MISSOURI,29.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,11.00
SURVEY,1974,YEAR,,STATE,OREGON,41.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,31000.00
SURVEY,1998,YEAR,,STATE,ILLINOIS,17.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,1473450000.00
SURVEY,1933,YEAR,,STATE,TENNESSEE,47.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,6.50
SURVEY,1971,YEAR,,STATE,INDIANA,18.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,556409000.00
SURVEY,1952,YEAR,,STATE,NEBRASKA,31.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,253080000.00
SURVEY,1977,YEAR,,STATE,ARKANSAS,5.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,43000.00
SURVEY,1943,YEAR,,STATE,ILLINOIS,17.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,8023000.00
SURVEY,2014,YEAR,,STATE,DELAWARE,10.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,33600000.00
SURVEY,1948,YEAR,,STATE,LOUISIANA,22.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,4.00
SURVEY,1962,YEAR,,STATE,KANSAS,20.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,201000.00
SURVEY,2006,YEAR,,STATE,OKLAHOMA,40.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,35000.00
SURVEY,1893,YEAR,,STATE,LOUISIANA,22.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,14550000.00
SURVEY,1981,YEAR,,STATE,WEST VIRGINIA,54.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,7728000.00
SURVEY,1950,YEAR,,STATE,NORTH CAROLINA,37.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,20000.00
SURVEY,2014,YEAR,,STATE,COLORADO,8.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1010000.00
