DIVISION,DISTRICT,INSTITUTE_NAME,TYP_ID,MANAGEMENT,TYP,EDU_LEVEL,STUD_TYP,MPO,AREA,GEOGRPY,SECURITY_GUARD,HAVING_COMP_LAB,HAVING_ELECTRICITY,HAVING_SOLAR_PANEL,NUMBER_OF_MULTIMEDIA,TOTAL_COMPUTER,CC_CAMERA_NUM,INTERNET_YN,COMP_LAB_DAILY_USE_HR,TOTAL_LAB_COMPUTER,SSC_TOT_APP,SSC_TOT_PASS,CLASS_ROOM,CLASS_ROOM_MULTIMEDIA,PACKA,TOT_STU,FEM_STU,TOT_TEACHER,FEM_TEACHER,CAPEX,OPEX
Chattogram,Cumilla,BHOGAI ADARSHA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,NO,1,2,NO,YES,0,0,188,140,5,NO,0,"1,008",624,11,1,620000,3961000
Dhaka,Dhaka,TALNA RUHUL AMIN KHAN HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,CityCorp,PLAIN LAND,YES,Yes,YES,YES,2,23,NO,YES,1,23,48,44,12,YES,3,239,100,10,3,2580000,3611500
Dhaka,Dhaka,TALNA RUHUL AMIN KHAN HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,CityCorp,PLAIN LAND,YES,Yes,YES,YES,2,23,NO,YES,1,23,48,44,12,YES,3,239,100,10,3,2580000,3611500
Dhaka,Dhaka,ROTARY HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,No,YES,YES,1,2,NO,YES,1,0,55,54,13,YES,4,"1,015",523,24,9,1420000,8641000
Chattogram,Cumilla,HARONG HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,UPZILA SADAR MUNICIPALITY,PLAIN LAND,YES,No,YES,YES,1,0,YES,YES,4,0,83,69,1,NO,2,737,317,11,3,100000,3960000
Chattogram,Cumilla,RAGOPUR SAHID MANIK MALEK SRITI HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,UPZILA SADAR BUT NOT MUNICIPALITY,PLAIN LAND,YES,No,YES,YES,1,1,YES,YES,0,0,47,19,8,NO,2,357,214,9,4,860000,3240500
Dhaka,Dhaka,BANGLADESH ADARSHA SHIKKHA NIKETON HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NO,CityCorp,PLAIN LAND,NO,Yes,YES,YES,2,1,YES,YES,5,12,117,91,5,YES,1,724,377,10,4,560000,3600500
Chattogram,Cumilla,NEWRA M.I.HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,CityCorp,PLAIN LAND,NO,Yes,YES,NO,2,2,NO,YES,2,2,87,67,11,NO,3,671,352,10,2,1220000,3601000
Chattogram,Cumilla,NEWRA M.I.HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,CityCorp,PLAIN LAND,NO,Yes,YES,NO,2,2,NO,YES,2,2,87,67,11,NO,3,671,352,10,2,1220000,3601000
Dhaka,Dhaka,ANANDA NAGAR ADARSHA VIDYALAY,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,No,NO,NO,0,0,NO,NO,0,0,267,240,15,YES,2,681,369,15,6,1500000,5400000
