,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
0,7.5,2015-05-07,-73.99981689,40.73835373,-73.99951172,40.72321701,1
1,7.7,2009-07-17,-73.994355,40.728225,-73.99471,40.750325,1
2,12.9,2009-08-24,-74.005043,40.74077,-73.962565,40.772647,1
3,5.3,2009-06-26,-73.976124,40.790844,-73.965316,40.803349,3
4,16.0,2014-08-28,-73.925023,40.744085,-73.973082,40.761247,5
5,4.9,2011-02-12,-73.969019,40.75591,-73.969019,40.75591,1
6,24.5,2014-10-12,-73.961447,40.693965,-73.871195,40.774297,5
7,2.5,2012-12-11,0.0,0.0,0.0,0.0,1
8,9.7,2012-02-17,-73.975187,40.745767,-74.00272,40.743537,1
9,12.5,2012-03-29,-74.001065,40.741787,-73.96304,40.775012,1
10,6.5,2015-05-22,-73.97438812,40.74695206,-73.98858643,40.72980499,1
11,8.5,2011-05-23,0.0,0.0,0.0,0.0,1
12,3.3,2011-05-17,-73.966378,40.80444,-73.96589,40.807133,5
13,10.9,2011-06-25,-73.953352,40.767382,-73.97251,40.796137,1
14,6.9,2010-04-06,-73.97337,40.755193,-73.978265,40.766375,1
15,9.7,2012-02-21,-73.990718,40.75192,-73.973053,40.74423,2
16,4.9,2011-09-01,-73.988908,40.756982,-73.981246,40.76005,1
17,10.5,2011-03-19,-74.005665,40.741138,-73.97783,40.749338,2
18,12.0,2015-03-25,-73.96253204,40.76718903,-73.97445679,40.75386047,1
19,4.9,2009-08-08,-73.992075,40.719633,-73.985323,40.727405,1
20,10.5,2014-02-18,-73.980022,40.74599,-74.003432,40.759667,1
21,5.0,2015-03-03,-73.98918915,40.72914124,-73.9872818,40.72063446,2
22,4.1,2009-11-26,-74.010798,40.726085,-74.009767,40.737402,2
23,7.7,2010-09-04,-73.9943,40.739512,-73.98807,40.724482,2
24,12.9,2010-05-12,-73.972987,40.76404,-74.00782,40.714993,5
25,9.5,2009-02-12,-73.986059,40.757159,-73.97613,40.780589,1
26,5.0,2014-01-21,-73.957802,40.776372,-73.957422,40.78287,1
27,12.0,2012-11-21,-73.993909,40.741551,-73.987874,40.770232,1
28,4.9,2009-05-06,-73.97778,40.763656,-73.989486,40.772966,1
29,7.3,2011-12-24,-73.971075,40.787833,-73.944957,40.784302,5
30,25.7,2011-05-21,-73.944815,40.834367,-73.989332,40.72192,4
31,7.7,2009-02-28,-74.004184,40.712975,-73.988385,40.725102,1
32,10.5,2013-02-11,-73.982085,40.771387,-73.95961,40.769445,1
33,11.0,2013-09-10,-73.991186,40.741393,-74.00971,40.716455,2
34,39.5,2014-06-04,-73.78808,40.642187,-73.865042,40.725997,4
35,8.1,2009-06-05,-73.98869,40.751273,-73.95881,40.764643,3
36,5.7,2011-02-19,-74.010863,40.710813,-74.001205,40.718745,1
37,6.9,2011-08-31,-73.968697,40.754998,-73.987302,40.73594,1
38,7.7,2010-05-18,-73.96837,40.759005,-73.979105,40.77757,3
39,29.0,2014-02-13,-73.9926,40.753172,-73.908508,40.816192,1
40,15.7,2010-04-01,-73.97336,40.786952,-73.97281,40.743548,1
41,9.0,2014-04-02,-73.970164,40.765016,-73.962801,40.77478,1
42,4.9,2011-02-01,-73.987139,40.753038,-73.977794,40.751834,1
43,5.4,2009-01-10,-73.994222,40.751229,-73.998331,40.744342,1
44,3.3,2012-07-12,-73.982371,40.765501,-73.985248,40.762808,1
45,8.9,2009-02-19,-73.977137,40.779272,-73.970457,40.757972,1
46,17.0,2014-01-16,-73.9939,40.751714,-73.958575,40.76039,1
47,12.0,2015-01-04,-73.97952271,40.72731018,-73.98487854,40.76065063,1
48,56.8,2013-01-03,-73.993498,40.764686,-73.993498,40.764686,1
49,13.5,2013-05-23,-73.962043,40.805372,-73.988447,40.77014,1
50,7.7,2009-10-03,-73.983052,40.776055,-73.974093,40.763797,1
51,13.3,2011-08-15,-73.9859,40.7277,-73.9825,40.7719,1
52,14.9,2012-05-25,-73.997385,40.720822,-73.955628,40.782252,1
53,7.5,2012-12-09,-73.937809,40.850558,-73.944454,40.834959,1
54,16.9,2009-04-09,-73.986593,40.759143,-74.001767,40.72012,1
55,11.0,2014-11-13,-73.958903,40.815239,-73.980862,40.78261,1
56,6.5,2010-03-05,-73.990305,40.756175,-74.003678,40.759173,1
57,6.5,2009-01-09,-73.968111,40.765625,-73.980863,40.75916,1
58,5.3,2009-07-10,-73.98973,40.734507,-74.001847,40.740387,1
59,4.1,2009-02-02,-73.954332,40.77406,-73.952558,40.766325,2
60,9.0,2015-06-17,-73.97213745,40.74988937,-73.9818573,40.73242569,1
61,17.3,2011-10-30,-73.975307,40.757499,-74.010737,40.711715,3
62,6.5,2011-06-22,-73.997925,40.749805,-74.003443,40.754337,2
63,20.0,2013-10-19,-73.977453,40.785215,-73.98595,40.734955,1
64,13.0,2014-08-22,-73.993619,40.749808,-73.992512,40.756546,2
65,6.0,2014-05-05,0.0,0.0,0.0,0.0,1
66,5.5,2013-01-02,-73.968242,40.762112,-73.979687,40.765432,1
67,15.5,2012-12-22,-73.989945,40.73399,-73.95831,40.780797,1
68,8.5,2015-02-16,-73.99765015,40.73622131,-73.98181152,40.76134872,2
69,7.5,2013-02-01,-73.997933,40.756223,-73.981529,40.742386,1
70,6.9,2009-05-20,-73.949458,40.773348,-73.964993,40.76659,5
71,21.0,2015-05-17,-73.95431519,40.76970291,-73.99013519,40.75743866,1
72,4.1,2012-06-28,-73.994554,40.721011,-73.989079,40.722964,2
73,5.7,2011-12-10,-73.990968,40.72757,-73.99137,40.74472,1
74,19.3,2009-03-11,-74.013173,40.704148,-73.984285,40.754962,1
75,17.3,2010-12-11,-73.995721,40.767201,-73.951222,40.723918,4
76,12.0,2014-04-15,-74.010142,40.719717,-74.013625,40.702315,1
77,11.3,2012-04-05,-73.981496,40.768334,-73.956104,40.804763,1
78,9.7,2010-04-25,-73.94984,40.796042,-73.962738,40.759112,3
